SampleName,Session,Xp626_L2_mean,Xp626_L2_std,Praw_mean,Praw_std,Traw_mean,Traw_std,dp18O_L1_raw_mean,dp18O_L1_raw_std,dp18O_L2_raw_mean,dp18O_L2_raw_std,dp17O_L2_raw_mean,dp17O_L2_raw_std,Dp17O_raw_mean,Dp17O_raw_std
IAEA603,2024,409171.9347,6296.4148,28.1650,0.0421,296.7425,0.0038,27.6542,0.0464,27.5189,0.1167,14.4971,0.0377,-0.0329,0.0324
IAEA603,2024,390759.7015,1348.9495,28.1543,0.0297,296.7593,0.0005,27.3374,0.0184,26.8642,0.0440,14.2600,0.0647,0.0757,0.0651
IAEA603,2024,388633.3857,828.9235,28.1735,0.0809,296.7591,0.0006,27.6784,0.0459,26.9383,0.0995,14.3223,0.0726,0.0988,0.0460
IAEA603,2024,446811.3754,1246.7839,28.1516,0.0411,296.7538,0.0015,27.0293,0.0308,27.5446,0.0614,14.2275,0.0539,-0.3161,0.0383
IAEA603,2024,429332.8360,1001.4171,28.1990,0.0471,296.7549,0.0027,26.9670,0.0446,27.2172,0.0413,14.1699,0.0480,-0.2008,0.0403
ZERO_ENRICHMENT,2025,383950.2857,1107.7646,28.1742,0.0335,296.7684,0.0022,0.3443,0.0474,-0.2583,0.0263,0.0505,0.0461,0.1869,0.0428
ZERO_ENRICHMENT,2025,398397.6667,609.0721,28.2124,0.0401,296.7551,0.0016,0.2304,0.0341,-0.0989,0.0497,0.0440,0.0291,0.0962,0.0360
ZERO_ENRICHMENT,2025,415750.7368,776.9963,28.2387,0.0334,296.7521,0.0013,0.0272,0.0186,0.0458,0.0315,0.0214,0.0220,-0.0028,0.0251
IAEA603,2025,416056.5714,974.7523,28.1793,0.0308,296.8036,0.0018,27.5427,0.0513,27.5871,0.0289,14.4708,0.0294,-0.0952,0.0187
IAEA603,2025,433846.2727,1652.5822,29.4066,0.0661,296.7804,0.0015,27.4588,0.0558,27.7276,0.0609,14.4427,0.0323,-0.1975,0.0138
IAEA603,2025,358339.8333,1797.5847,29.5641,0.0547,296.8005,0.0009,27.8474,0.0607,26.6212,0.0816,14.3333,0.0536,0.2773,0.0282